observations_station_id,forecasts_station_id,station_name,state
00164,10291,Angermünde,Brandenburg
00303,10376,Baruth,Brandenburg
05825,F431,Berge,Brandenburg
00400,G002,Berlin-Buch,Berlin
00403,10381,Berlin-Dahlem (FU),Berlin
00420,G005,Berlin-Marzahn,Berlin
00427,10385,Berlin-Schönefeld,Brandenburg
00430,10382,Berlin-Tegel,Berlin
00433,10384,Berlin-Tempelhof,Berlin
06170,F695,Coschen,Brandenburg
00880,10496,Cottbus,Brandenburg
01001,10490,Doberlug-Kirchhain,Brandenburg
01869,10289,Grünow,Brandenburg
07389,F361,Heckelberg,Brandenburg
02627,F951,Klettwitz,Brandenburg
02794,10267,Kyritz,Brandenburg
02856,F707,Langenlipsdorf,Brandenburg
02951,F105,Lenzen/Elbe,Brandenburg
03015,10393,Lindenberg,Brandenburg
03083,F742,Lübben-Blumenfelde,Brandenburg
03158,10396,Manschnow,Brandenburg
03509,F151,Menz,Brandenburg
03376,F475,Müncheberg,Brandenburg
03552,10270,Neuruppin,Brandenburg
00096,10271,Neuruppin-Alt Ruppin,Brandenburg
03987,10379,Potsdam,Brandenburg
05546,10368,Wiesenburg,Brandenburg
05643,F143,Wittstock-Rote Mühle,Brandenburg
06265,F419,Wusterwitz,Brandenburg
05745,F263,Zehdenick,Brandenburg
